face_id,left,top,right,bottom,score_face,percorso_immagine_censurata
1,104,147,168,244,0.9196606278419495,output_immagini/image_censored/censored_img684_jpg.rf.db28b688e18755acf9c1e18f41005563.jpg
2,140,135,206,236,0.9044446349143982,
3,7,160,72,256,0.8860503435134888,
4,321,113,376,186,0.5374593138694763,
5,325,116,378,186,0.38757801055908203,
6,364,130,409,180,0.3629838228225708,
7,380,134,416,190,0.32862377166748047,
8,329,120,380,185,0.3104340136051178,
9,289,122,340,201,0.2551302909851074,
