face_id,left,top,right,bottom,score_face,percorso_immagine_censurata
1,293,77,355,164,0.8791629672050476,output_immagini/image_censored/censored_img663_jpg.rf.e7885a5cd2cf61ff06fa847653143161.jpg
2,113,114,171,199,0.8691214323043823,
3,138,124,201,216,0.7973001003265381,
4,199,93,252,164,0.5823715329170227,
5,221,126,279,203,0.5783509612083435,
6,337,82,394,157,0.5151658654212952,
7,368,0,416,161,0.3900419771671295,
8,336,83,389,159,0.2992316782474518,
9,376,0,416,172,0.25974032282829285,
